id,createdAt,updatedAt,taxon,referencia,categoria_agrobiodiversidad,subcategoria_agrobiodiversidad,justificacion_subcategoria,comentarios_revision
8077ANGIO,2022-03-03 21:18:02.709+00,2022-03-03 21:18:02.709+00,Pachycereus weberi,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8078ANGIO,2022-03-03 21:18:02.713+00,2022-03-03 21:18:02.713+00,Stenocereus beneckei,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8079ANGIO,2022-03-03 21:18:02.718+00,2022-03-03 21:18:02.718+00,Stenocereus chacalapensis,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8080ANGIO,2022-03-03 21:18:02.722+00,2022-03-03 21:18:02.722+00,Stenocereus chrysocarpus,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8083ANGIO,2022-03-03 21:18:02.726+00,2022-03-03 21:18:02.726+00,Stenocereus eruca,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8084ANGIO,2022-03-03 21:18:02.73+00,2022-03-03 21:18:02.73+00,Stenocereus fricii,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8085ANGIO,2022-03-03 21:18:02.734+00,2022-03-03 21:18:02.734+00,Stenocereus griseus,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8086ANGIO,2022-03-03 21:18:02.738+00,2022-03-03 21:18:02.738+00,Stenocereus gummosus,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
163_pendiente,2022-03-03 21:18:10.356+00,2022-03-03 21:18:10.356+00,Brassica oleracea,Proyecto GEF,Agrobiodiversidad,Domesticada,,
8088ANGIO,2022-03-03 21:18:02.742+00,2022-03-03 21:18:02.742+00,Stenocereus martinezii,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8089ANGIO,2022-03-03 21:18:02.746+00,2022-03-03 21:18:02.746+00,Stenocereus montanus,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
8090ANGIO,2022-03-03 21:18:02.75+00,2022-03-03 21:18:02.75+00,Stenocereus pruinosus,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,,,
