id,createdAt,updatedAt,taxon,estatus,id_valido,taxon_valido,referencia,categoria_agrobiodiversidad,es_parientesilvestre,es_domesticado,es_quelite,comentarios_revision,usuario
20710ANGIO,2023-02-20 05:00:28.574+00,2023-02-20 05:00:28.574+00,Chamaedorea ibarrae,Aceptado/Válido,20710ANGIO,Chamaedorea ibarrae,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20712ANGIO,2023-02-20 05:00:28.647+00,2023-02-20 05:00:28.647+00,Chamaedorea keelerorum,Aceptado/Válido,20712ANGIO,Chamaedorea keelerorum,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20713ANGIO,2023-02-20 05:00:28.72+00,2023-02-20 05:00:28.72+00,Chamaedorea klotzschiana,Aceptado/Válido,20713ANGIO,Chamaedorea klotzschiana,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20714ANGIO,2023-02-20 05:00:28.812+00,2023-02-20 05:00:28.812+00,Chamaedorea lepidota,Aceptado/Válido,20714ANGIO,Chamaedorea lepidota,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20715ANGIO,2023-02-20 05:00:28.889+00,2023-02-20 05:00:28.889+00,Chamaedorea liebmannii,Aceptado/Válido,20715ANGIO,Chamaedorea liebmannii,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20719ANGIO,2023-02-20 05:00:28.966+00,2023-02-20 05:00:28.966+00,Chamaedorea metallica,Aceptado/Válido,20719ANGIO,Chamaedorea metallica,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20720ANGIO,2023-02-20 05:00:29.042+00,2023-02-20 05:00:29.042+00,Chamaedorea microspadix,Aceptado/Válido,20720ANGIO,Chamaedorea microspadix,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20721ANGIO,2023-02-20 05:00:29.126+00,2023-02-20 05:00:29.126+00,Chamaedorea monostachys,Sinónimo,20725ANGIO,Chamaedorea oreophila,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",,,,,,listado-admin
20722ANGIO,2023-02-20 05:00:29.207+00,2023-02-20 05:00:29.207+00,Chamaedorea montana,Aceptado/Válido,20722ANGIO,Chamaedorea montana,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20723ANGIO,2023-02-20 05:00:29.283+00,2023-02-20 05:00:29.283+00,Chamaedorea neurochlamys,Aceptado/Válido,20723ANGIO,Chamaedorea neurochlamys,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20724ANGIO,2023-02-20 05:00:29.364+00,2023-02-20 05:00:29.364+00,Chamaedorea nubium,Aceptado/Válido,20724ANGIO,Chamaedorea nubium,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20725ANGIO,2023-02-20 05:00:29.448+00,2023-02-20 05:00:29.448+00,Chamaedorea oreophila,Aceptado/Válido,20725ANGIO,Chamaedorea oreophila,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20727ANGIO,2023-02-20 05:00:29.523+00,2023-02-20 05:00:29.523+00,Chamaedorea parvisecta,Aceptado/Válido,20727ANGIO,Chamaedorea parvisecta,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
20729ANGIO,2023-02-20 05:00:29.597+00,2023-02-20 05:00:29.597+00,Chamaedorea pochutlensis,Aceptado/Válido,20729ANGIO,Chamaedorea pochutlensis,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
