registro_id,valor,unidad,nombre,comentarios,nombre_corto,metodo_id
4eb697b53867ac983d809677e4cb822d,89,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
cd341346181d9fdc286457c97c5bc9f9,86,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
84ce7d9faaa9d2a76acabc3cef50d868,89,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
7856e984cf84d3c71ee7d6072dd4cd52,45,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
7809204327689bbaf793364d3689437a,56,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
e3b160883b5b88cad24d8da05951a066,41,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
f8d17672e35938f09c682805d9674685,38,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
ed034b83bc8aba482dce1f17f3fb7965,47,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
480482eb69edf0952ab3cc7fc2051030,41,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
40cab0f7a532f2ee57fa52ebe0659aa2,27,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
f3eb761782a78c0b0494aca3624cde78,38,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
dd84d990ff708465051dd8ba2eb73bdb,34,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
a0a01c876cb305f84c1a5661cadd234b,25,g,Peso seco 100 granos,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,peso_seco,NULL
